asset,asset_type,max_sharpe_weight,min_volatility_weight,equal_weight
AAPL,Stock,0.11166935664046976,0.03244828740154045,0.06666666666666667
AMZN,Stock,0.0,0.02924728537159263,0.06666666666666667
BNB,Cryptocurrency,0.1945169107976025,3.459117093125689e-18,0.06666666666666667
BTC,Cryptocurrency,0.0,0.12572485276437012,0.06666666666666667
ETH,Cryptocurrency,0.0,0.0,0.06666666666666667
GOOGL,Stock,0.18046351829476928,0.05318250303399806,0.06666666666666667
JPM,Stock,0.010501845128910461,0.1770191978938932,0.06666666666666667
META,Stock,3.5823600858107536e-17,2.099675647880383e-17,0.06666666666666667
MSFT,Stock,4.047598389015657e-17,0.05810272629897566,0.06666666666666667
NVDA,Stock,0.25,0.0,0.06666666666666667
SOL,Cryptocurrency,0.1032015685982003,0.024275147235629933,0.06666666666666667
SPY,Stock,1.3223835562241567e-16,0.25,0.06666666666666667
TSLA,Stock,0.1496468005400476,0.0,0.06666666666666667
V,Stock,6.28380469464916e-17,0.25,0.06666666666666667
XRP,Cryptocurrency,1.466865736702821e-16,5.885257009755107e-17,0.06666666666666667
