asset_type,annual_return,annual_volatility,sharpe_ratio,max_drawdown,risk_score
Cryptocurrency,0.4846769933977272,0.7685223179898624,0.5861540717049345,-0.8728602979884494,9.0
Stock,0.28413964679146153,0.3534367064764987,0.7131619006296095,-0.5079376056368331,5.8
