portfolio_type,expected_annual_return,annual_volatility,sharpe_ratio
Maximum Sharpe Portfolio,0.4029324112099766,0.3257231655719583,1.1756376324587197
Minimum Volatility Portfolio,0.15231718821842696,0.1881474224478807,0.703263358577663
Equal Weight Portfolio,0.2812629707568005,0.2766947104226026,0.9442282809012402
